age_bracket,education_level,household_income,socioeconomic_class,housing_status,constituency_leaning,vote_national,vote_local,satisfaction_national_government,importance_economy,importance_social_issues,support_welfare_spending,tax_on_wealthy,trust_mainstream_media,concern_political_corruption,climate_priority,immigration_policy_stance,trust_public_institutions,2028__winner,is_fiscally_conservative,is_climate_priority,is_media_skeptic,is_snp_region,is_reform_minded,is_social_justice_focused,education_score,income_score,media_trust_score,gov_satisfaction_score
45–54,A-level or equivalent,"£80,000 +",Working class,Renter,Reform,No,Yes,Neutral,Very Important,Not Important,No,Yes,High,Not concerned,Yes,More open,Very Low,ld,0,1,0,0,0,0,2.0,4.0,3,2
35–44,Bachelors degree,"£40,000–£60,000",Middle class,Homeowner,Labour,No,No,Very Satisfied,Very Important,Very Important,Yes,No,Very Low,Very concerned,No,Unbothered,medium,ld,0,0,1,0,0,0,3.0,2.0,0,4
45–54,PHD or higher,"£60,000-£80,000",Lower middle class,Living with family,Liberal democrat,No,Yes,Very Satisfied,Very Important,Not Important,Yes,No,High,Not concerned,Yes,Restrictive,Very High,con,0,1,0,0,0,0,5.0,3.0,3,4
35–44,A-level or equivalent,"£60,000-£80,000",Working class,Living with family,Labour,Yes,No,Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,medium,lab,0,1,1,0,0,0,2.0,3.0,1,1
45–54,GCSE or equivalent,"£60,000-£80,000",Working class,Living with family,Liberal democrat,Yes,Yes,Neutral,Somewhat Important,Somewhat Important,Yes,No,Low,Somewhat concerned,No,More open,Very Low,ld,0,0,1,0,0,0,1.0,3.0,1,2
45–54,Masters degree,"£20,000–£40,000",Upper middle class,Living with family,SNP,No,Yes,Dissatisfied,Somewhat Important,Not Important,Yes,Yes,Very High,Somewhat concerned,No,Restrictive,Very High,con,0,0,0,0,0,0,4.0,1.0,4,1
45–54,PHD or higher,"£60,000-£80,000",Lower middle class,Living with family,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,5.0,3.0,0,0
55–64,GCSE or equivalent,"under £20,000",Middle class,Council housing,Labour,Yes,Yes,Satisfied,Very Important,Very Important,Yes,Yes,Very Low,Very concerned,Yes,Restrictive,Very Low,con,0,1,1,0,0,0,1.0,0.0,0,3
45–54,Masters degree,"£60,000-£80,000",Working class,Council housing,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,4.0,3.0,0,0
18–24,No qualification,"under £20,000",Working class,Council housing,Labour,Yes,No,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,Low,lab,0,1,0,0,0,0,0.0,0.0,2,1
45–54,GCSE or equivalent,"£40,000–£60,000",Middle class,Living with family,Liberal democrat,Yes,Yes,Dissatisfied,Important,Very Important,No,Yes,Very Low,Somewhat concerned,Yes,More open,Low,snp,0,1,1,0,0,0,1.0,2.0,0,1
25–34,A-level or equivalent,"£60,000-£80,000",Lower middle class,Living with family,SNP,Yes,Yes,Neutral,Important,Somewhat Important,Yes,Yes,Low,Not concerned,No,Very restrictive,medium,green,0,0,1,0,0,0,2.0,3.0,1,2
25–34,GCSE or equivalent,"under £20,000",Working class,Living with family,Labour,Yes,No,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,Low,lab,0,1,0,0,0,0,1.0,0.0,2,1
45–54,GCSE or equivalent,"£40,000–£60,000",Lower middle class,Renter,Other,No,Yes,Very Satisfied,Not Important,Important,Yes,Yes,Very High,Somewhat concerned,No,More open,High,ld,0,0,0,0,0,0,1.0,2.0,4,4
25–34,PHD or higher,"under £20,000",Upper middle class,Living with family,SNP,Yes,Yes,Very Satisfied,Somewhat Important,Important,Yes,No,medium,Not concerned,No,Unbothered,medium,other,0,0,0,0,0,0,5.0,0.0,2,4
65+,No qualification,"£80,000 +",Working class,Council housing,Labour,Yes,Yes,Very Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,medium,lab,0,1,1,0,0,0,0.0,4.0,1,0
35–44,Masters degree,"under £20,000",Working class,Council housing,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,medium,lab,0,1,1,0,0,0,4.0,0.0,1,1
65+,PHD or higher,"£40,000–£60,000",Lower middle class,Living with family,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,5.0,2.0,0,0
18–24,A-level or equivalent,"£60,000-£80,000",Lower middle class,Homeowner,Conservative,Yes,No,Neutral,Important,Somewhat Important,Yes,No,Very High,Very concerned,No,Restrictive,Very High,ld,0,0,0,0,0,0,2.0,3.0,4,2
65+,other,"£40,000–£60,000",Working class,Council housing,Labour,Yes,Yes,Very Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,medium,lab,0,1,1,0,0,0,2.0,2.0,1,0
35–44,Bachelors degree,"£40,000–£60,000",Lower middle class,Council housing,Other,Yes,Yes,Neutral,Important,Not Important,No,Yes,Low,Very concerned,No,Restrictive,medium,green,0,0,1,0,0,0,3.0,2.0,1,2
35–44,PHD or higher,"£80,000 +",Lower middle class,Council housing,SNP,Yes,No,Dissatisfied,Very Important,Not Important,No,Yes,Very Low,Somewhat concerned,No,More open,Low,ld,0,0,1,0,0,0,5.0,4.0,0,1
18–24,GCSE or equivalent,"under £20,000",Middle class,Council housing,Reform,No,Yes,Very Dissatisfied,Very Important,Somewhat Important,No,No,High,Very concerned,No,Unbothered,Very Low,other,1,0,0,0,0,0,1.0,0.0,3,0
65+,Masters degree,"£80,000 +",Lower middle class,Homeowner,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,4.0,4.0,0,0
45–54,other,"£80,000 +",Lower middle class,Living with family,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,2.0,4.0,0,0
18–24,GCSE or equivalent,"£80,000 +",Working class,Living with family,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,1.0,4.0,0,0
25–34,other,"under £20,000",Working class,Council housing,Labour,Yes,No,Very Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,medium,lab,0,1,1,0,0,0,2.0,0.0,1,0
35–44,other,"£60,000-£80,000",Working class,Council housing,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,medium,lab,0,1,1,0,0,0,2.0,3.0,1,1
55–64,other,"£80,000 +",Working class,Council housing,Green,Yes,No,Very Satisfied,Not Important,Somewhat Important,No,No,Very Low,Not concerned,No,Very restrictive,High,ld,1,0,1,0,0,0,2.0,4.0,0,4
65+,GCSE or equivalent,"£60,000-£80,000",Working class,Renter,Labour,Yes,No,Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,medium,lab,0,1,1,0,0,0,1.0,3.0,1,1
65+,GCSE or equivalent,"£60,000-£80,000",Working class,Living with family,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,1.0,3.0,0,0
55–64,A-level or equivalent,"£80,000 +",Upper middle class,Council housing,Reform,Yes,Yes,Satisfied,Somewhat Important,Somewhat Important,No,No,Very Low,Not concerned,Yes,Very restrictive,Low,green,1,1,1,0,0,0,2.0,4.0,0,3
55–64,A-level or equivalent,"£20,000–£40,000",Working class,Living with family,Labour,Yes,No,Very Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,medium,lab,0,1,0,0,0,0,2.0,1.0,2,0
25–34,A-level or equivalent,"£60,000-£80,000",Working class,Homeowner,Reform,Yes,No,Very Satisfied,Important,Very Important,No,No,Very Low,Not concerned,No,Unbothered,High,ld,1,0,1,0,0,0,2.0,3.0,0,4
55–64,GCSE or equivalent,"£80,000 +",Working class,Living with family,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,1.0,4.0,0,0
18–24,No qualification,"£20,000–£40,000",Upper middle class,Renter,Green,Yes,No,Satisfied,Somewhat Important,Somewhat Important,No,No,medium,Not concerned,Yes,Very restrictive,High,snp,1,1,0,0,0,0,0.0,1.0,2,3
55–64,Bachelors degree,"£80,000 +",Upper middle class,Renter,Green,No,Yes,Very Dissatisfied,Important,Somewhat Important,No,No,Very High,Somewhat concerned,Yes,Unbothered,Very High,con,1,1,0,0,0,0,3.0,4.0,4,0
65+,Masters degree,"£40,000–£60,000",Middle class,Renter,Green,Yes,No,Very Satisfied,Not Important,Very Important,Yes,Yes,Very High,Not concerned,Yes,Very restrictive,Very Low,con,0,1,0,0,0,0,4.0,2.0,4,4
45–54,GCSE or equivalent,"£20,000–£40,000",Middle class,Living with family,Liberal democrat,No,Yes,Very Dissatisfied,Very Important,Not Important,Yes,Yes,Very Low,Very concerned,No,Very restrictive,High,con,0,0,1,0,0,0,1.0,1.0,0,0
35–44,No qualification,"£60,000-£80,000",Lower middle class,Living with family,Green,Yes,Yes,Very Satisfied,Important,Not Important,Yes,Yes,Very High,Very concerned,Yes,Very restrictive,High,con,0,1,0,0,0,0,0.0,3.0,4,4
25–34,No qualification,"under £20,000",Lower middle class,Council housing,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,0.0,0.0,0,0
65+,Bachelors degree,"£80,000 +",Middle class,Council housing,Reform,No,No,Satisfied,Very Important,Very Important,Yes,No,Very High,Not concerned,No,Restrictive,Low,con,0,0,0,0,0,0,3.0,4.0,4,3
55–64,GCSE or equivalent,"£40,000–£60,000",Lower middle class,Renter,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,1.0,2.0,0,0
45–54,No qualification,"£60,000-£80,000",Working class,Council housing,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,0.0,3.0,0,0
35–44,GCSE or equivalent,"under £20,000",Working class,Council housing,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,medium,lab,0,1,1,0,0,0,1.0,0.0,1,1
65+,A-level or equivalent,"£20,000–£40,000",Working class,Council housing,Labour,Yes,No,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,medium,lab,0,1,0,0,0,0,2.0,1.0,2,1
45–54,Masters degree,"under £20,000",Middle class,Homeowner,Green,No,No,Very Dissatisfied,Not Important,Important,No,Yes,Low,Very concerned,Yes,Unbothered,High,con,0,1,1,0,0,0,4.0,0.0,1,0
65+,GCSE or equivalent,"£40,000–£60,000",Working class,Renter,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,1.0,2.0,0,0
25–34,Bachelors degree,"£80,000 +",Working class,Renter,Labour,Yes,No,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,Low,lab,0,1,0,0,0,0,3.0,4.0,2,1
65+,other,"under £20,000",Upper middle class,Homeowner,Green,No,Yes,Very Satisfied,Important,Very Important,Yes,Yes,medium,Somewhat concerned,Yes,More open,medium,con,0,1,0,0,0,0,2.0,0.0,2,4
45–54,PHD or higher,"£20,000–£40,000",Lower middle class,Council housing,Labour,No,Yes,Dissatisfied,Not Important,Not Important,Yes,Yes,Very Low,Somewhat concerned,No,Restrictive,Low,snp,0,0,1,0,0,0,5.0,1.0,0,1
65+,GCSE or equivalent,"£80,000 +",Working class,Renter,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,1.0,4.0,0,0
65+,No qualification,"£20,000–£40,000",Working class,Homeowner,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,0.0,1.0,0,0
65+,PHD or higher,"£20,000–£40,000",Working class,Homeowner,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,5.0,1.0,0,0
18–24,Masters degree,"under £20,000",Upper middle class,Renter,Liberal democrat,Yes,No,Very Satisfied,Not Important,Important,No,Yes,Low,Somewhat concerned,Yes,Very restrictive,Very High,ld,0,1,1,0,0,0,4.0,0.0,1,4
25–34,Bachelors degree,"£20,000–£40,000",Middle class,Living with family,Conservative,No,Yes,Very Dissatisfied,Somewhat Important,Very Important,No,No,Very High,Very concerned,Yes,More open,Very Low,con,1,1,0,0,0,0,3.0,1.0,4,0
25–34,No qualification,"under £20,000",Working class,Living with family,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,0.0,0.0,0,0
25–34,No qualification,"£20,000–£40,000",Lower middle class,Homeowner,Green,No,No,Neutral,Very Important,Important,Yes,No,High,Not concerned,Yes,More open,medium,con,0,1,0,0,0,0,0.0,1.0,3,2
25–34,A-level or equivalent,"£40,000–£60,000",Working class,Living with family,Other,Yes,Yes,Neutral,Somewhat Important,Important,Yes,Yes,High,Not concerned,No,More open,medium,green,0,0,0,0,0,0,2.0,2.0,3,2
45–54,A-level or equivalent,"under £20,000",Lower middle class,Council housing,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,2.0,0.0,0,0
25–34,PHD or higher,"£40,000–£60,000",Middle class,Homeowner,Liberal democrat,Yes,Yes,Very Satisfied,Somewhat Important,Very Important,Yes,No,High,Somewhat concerned,No,Very restrictive,Low,ld,0,0,0,0,0,0,5.0,2.0,3,4
25–34,Bachelors degree,"£40,000–£60,000",Lower middle class,Renter,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,3.0,2.0,0,0
35–44,GCSE or equivalent,"£40,000–£60,000",Middle class,Homeowner,Other,Yes,No,Satisfied,Important,Very Important,Yes,Yes,medium,Somewhat concerned,Yes,Restrictive,Very High,green,0,1,0,0,0,0,1.0,2.0,2,3
65+,PHD or higher,"£80,000 +",Middle class,Council housing,Liberal democrat,No,No,Very Satisfied,Very Important,Important,No,Yes,Very Low,Not concerned,No,Unbothered,medium,ld,0,0,1,0,0,0,5.0,4.0,0,4
65+,No qualification,"£40,000–£60,000",Upper middle class,Renter,Labour,Yes,No,Very Satisfied,Somewhat Important,Not Important,Yes,No,Very High,Not concerned,No,Very restrictive,Low,con,0,0,0,0,0,0,0.0,2.0,4,4
35–44,GCSE or equivalent,"£80,000 +",Working class,Living with family,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,1.0,4.0,0,0
25–34,PHD or higher,"£40,000–£60,000",Middle class,Living with family,Conservative,Yes,No,Neutral,Very Important,Very Important,Yes,No,Low,Somewhat concerned,Yes,Very restrictive,medium,green,0,1,1,0,0,0,5.0,2.0,1,2
25–34,Bachelors degree,"£20,000–£40,000",Lower middle class,Renter,Labour,No,Yes,Dissatisfied,Not Important,Very Important,No,No,Low,Not concerned,Yes,More open,medium,con,1,1,1,0,0,0,3.0,1.0,1,1
25–34,A-level or equivalent,"£60,000-£80,000",Lower middle class,Renter,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,2.0,3.0,0,0
65+,GCSE or equivalent,"£60,000-£80,000",Middle class,Living with family,Liberal democrat,No,No,Satisfied,Somewhat Important,Important,Yes,Yes,High,Very concerned,Yes,Restrictive,Very Low,con,0,1,0,0,0,0,1.0,3.0,3,3
55–64,Bachelors degree,"£80,000 +",Upper middle class,Homeowner,Reform,No,Yes,Dissatisfied,Very Important,Somewhat Important,No,Yes,medium,Somewhat concerned,No,Very restrictive,Very High,other,0,0,0,0,0,0,3.0,4.0,2,1
18–24,A-level or equivalent,"under £20,000",Working class,Homeowner,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,2.0,0.0,0,0
35–44,Bachelors degree,"£20,000–£40,000",Working class,Council housing,Labour,Yes,No,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,medium,lab,0,1,0,0,0,0,3.0,1.0,2,1
45–54,Bachelors degree,"£40,000–£60,000",Working class,Living with family,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,3.0,2.0,0,0
35–44,GCSE or equivalent,"£40,000–£60,000",Working class,Homeowner,Labour,Yes,No,Very Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,Low,lab,0,1,1,0,0,0,1.0,2.0,1,0
45–54,No qualification,"under £20,000",Lower middle class,Homeowner,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,0.0,0.0,0,0
18–24,Bachelors degree,"£60,000-£80,000",Middle class,Living with family,Green,No,No,Dissatisfied,Very Important,Not Important,No,No,Very High,Not concerned,No,More open,medium,con,1,0,0,0,0,0,3.0,3.0,4,1
35–44,No qualification,"£60,000-£80,000",Lower middle class,Council housing,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,0.0,3.0,0,0
45–54,other,"£80,000 +",Upper middle class,Living with family,Conservative,No,Yes,Very Dissatisfied,Somewhat Important,Not Important,No,Yes,Very Low,Very concerned,No,More open,High,con,0,0,1,0,0,0,2.0,4.0,0,0
65+,PHD or higher,"£40,000–£60,000",Lower middle class,Renter,Green,No,Yes,Neutral,Important,Very Important,No,Yes,High,Very concerned,Yes,Unbothered,Low,con,0,1,0,0,0,0,5.0,2.0,3,2
35–44,Masters degree,"£40,000–£60,000",Working class,Living with family,Reform,No,Yes,Satisfied,Important,Somewhat Important,No,Yes,High,Not concerned,Yes,More open,medium,ld,0,1,0,0,0,0,4.0,2.0,3,3
35–44,No qualification,"under £20,000",Working class,Homeowner,Labour,Yes,Yes,Very Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,Low,lab,0,1,0,0,0,0,0.0,0.0,2,0
25–34,A-level or equivalent,"£20,000–£40,000",Working class,Renter,Labour,Yes,Yes,Very Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,medium,lab,0,1,0,0,0,0,2.0,1.0,2,0
65+,Bachelors degree,"£40,000–£60,000",Working class,Renter,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,3.0,2.0,0,0
35–44,PHD or higher,"under £20,000",Working class,Renter,Labour,Yes,Yes,Very Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,Low,lab,0,1,0,0,0,0,5.0,0.0,2,0
65+,GCSE or equivalent,"under £20,000",Lower middle class,Homeowner,Other,No,No,Very Satisfied,Very Important,Important,No,No,Very High,Not concerned,No,Very restrictive,Very High,con,1,0,0,0,0,0,1.0,0.0,4,4
55–64,No qualification,"under £20,000",Lower middle class,Renter,Reform,Yes,Yes,Very Satisfied,Important,Not Important,Yes,No,Very High,Very concerned,No,More open,Very High,con,0,0,0,0,0,0,0.0,0.0,4,4
55–64,PHD or higher,"under £20,000",Working class,Living with family,SNP,Yes,No,Dissatisfied,Somewhat Important,Very Important,No,No,medium,Somewhat concerned,Yes,Very restrictive,High,ld,1,1,0,0,0,0,5.0,0.0,2,1
35–44,Masters degree,"£60,000-£80,000",Working class,Council housing,Labour,Yes,No,Very Satisfied,Important,Not Important,No,Yes,Very High,Somewhat concerned,No,Unbothered,medium,ld,0,0,0,0,0,0,4.0,3.0,4,4
35–44,GCSE or equivalent,"£20,000–£40,000",Working class,Living with family,Green,No,Yes,Very Dissatisfied,Somewhat Important,Very Important,Yes,Yes,Very Low,Somewhat concerned,No,More open,Low,ld,0,0,1,0,0,0,1.0,1.0,0,0
18–24,GCSE or equivalent,"£80,000 +",Upper middle class,Council housing,Reform,No,Yes,Dissatisfied,Not Important,Not Important,Yes,Yes,High,Very concerned,No,Unbothered,High,green,0,0,0,0,0,0,1.0,4.0,3,1
55–64,Masters degree,"under £20,000",Upper middle class,Council housing,Conservative,No,Yes,Satisfied,Somewhat Important,Somewhat Important,No,Yes,medium,Not concerned,Yes,Unbothered,Low,ld,0,1,0,0,0,0,4.0,0.0,2,3
55–64,Bachelors degree,"£60,000-£80,000",Lower middle class,Living with family,Reform,No,No,Dissatisfied,Somewhat Important,Important,No,No,Very High,Not concerned,No,Very restrictive,medium,green,1,0,0,0,0,0,3.0,3.0,4,1
45–54,Bachelors degree,"£40,000–£60,000",Upper middle class,Council housing,Labour,No,No,Very Dissatisfied,Important,Not Important,No,No,medium,Not concerned,Yes,Unbothered,Low,ld,1,1,0,0,0,0,3.0,2.0,2,0
18–24,GCSE or equivalent,"under £20,000",Working class,Renter,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,Low,lab,0,1,1,0,0,0,1.0,0.0,1,1
25–34,Masters degree,"£20,000–£40,000",Working class,Renter,Labour,Yes,No,Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,Low,lab,0,1,1,0,0,0,4.0,1.0,1,1
25–34,A-level or equivalent,"under £20,000",Working class,Council housing,Labour,No,No,Neutral,Not Important,Somewhat Important,Yes,No,High,Somewhat concerned,No,Unbothered,Very Low,green,0,0,0,0,0,0,2.0,0.0,3,2
35–44,No qualification,"£60,000-£80,000",Lower middle class,Renter,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,0.0,3.0,0,0
18–24,No qualification,"£20,000–£40,000",Working class,Council housing,Labour,Yes,Yes,Very Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,Low,lab,0,1,0,0,0,0,0.0,1.0,2,0
25–34,GCSE or equivalent,"£80,000 +",Working class,Living with family,Labour,Yes,No,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,medium,lab,0,1,0,0,0,0,1.0,4.0,2,1
55–64,A-level or equivalent,"£80,000 +",Working class,Renter,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,2.0,4.0,0,0
35–44,Masters degree,"£80,000 +",Working class,Council housing,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,Low,lab,0,1,0,0,0,0,4.0,4.0,2,1
25–34,No qualification,"£60,000-£80,000",Lower middle class,Homeowner,Labour,No,No,Neutral,Very Important,Not Important,Yes,No,Very High,Somewhat concerned,No,More open,High,con,0,0,0,0,0,0,0.0,3.0,4,2
55–64,other,"£40,000–£60,000",Lower middle class,Renter,Conservative,No,Yes,Very Dissatisfied,Somewhat Important,Very Important,Yes,No,Very Low,Very concerned,Yes,Unbothered,Very Low,con,0,1,1,0,0,0,2.0,2.0,0,0
45–54,Bachelors degree,"£40,000–£60,000",Lower middle class,Council housing,Green,No,Yes,Neutral,Not Important,Very Important,No,No,Very Low,Not concerned,No,Very restrictive,Very Low,con,1,0,1,0,0,0,3.0,2.0,0,2
45–54,Masters degree,"£20,000–£40,000",Upper middle class,Renter,Conservative,No,Yes,Neutral,Not Important,Somewhat Important,No,No,Very Low,Somewhat concerned,No,Restrictive,Very High,snp,1,0,1,0,0,0,4.0,1.0,0,2
25–34,A-level or equivalent,"£40,000–£60,000",Working class,Living with family,Other,Yes,No,Very Dissatisfied,Very Important,Very Important,No,Yes,Very High,Somewhat concerned,Yes,Very restrictive,medium,snp,0,1,0,0,0,0,2.0,2.0,4,0
45–54,other,"£80,000 +",Lower middle class,Homeowner,Reform,Yes,No,Neutral,Very Important,Not Important,Yes,Yes,Very Low,Very concerned,No,More open,Very High,con,0,0,1,0,0,0,2.0,4.0,0,2
35–44,PHD or higher,"£40,000–£60,000",Lower middle class,Council housing,SNP,Yes,No,Neutral,Important,Not Important,Yes,Yes,Low,Somewhat concerned,No,Restrictive,medium,snp,0,0,1,0,0,0,5.0,2.0,1,2
45–54,PHD or higher,"£80,000 +",Working class,Homeowner,Green,Yes,No,Neutral,Very Important,Not Important,No,Yes,Low,Not concerned,Yes,Restrictive,High,ld,0,1,1,0,0,0,5.0,4.0,1,2
25–34,Bachelors degree,"£40,000–£60,000",Upper middle class,Living with family,Liberal democrat,Yes,No,Neutral,Not Important,Important,Yes,No,medium,Somewhat concerned,Yes,Restrictive,Very High,green,0,1,0,0,0,0,3.0,2.0,2,2
35–44,No qualification,"£60,000-£80,000",Lower middle class,Living with family,Reform,Yes,No,Very Dissatisfied,Very Important,Not Important,No,No,Very Low,Very concerned,No,Very restrictive,Very Low,reform,1,0,1,0,0,0,0.0,3.0,0,0
55–64,A-level or equivalent,"under £20,000",Middle class,Homeowner,Conservative,No,No,Neutral,Not Important,Not Important,No,No,medium,Very concerned,Yes,Unbothered,Very High,ld,1,1,0,0,0,0,2.0,0.0,2,2
35–44,A-level or equivalent,"£20,000–£40,000",Working class,Council housing,Labour,Yes,Yes,Very Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,medium,lab,0,1,0,0,0,0,2.0,1.0,2,0
65+,GCSE or equivalent,"£40,000–£60,000",Upper middle class,Council housing,Conservative,Yes,No,Very Satisfied,Somewhat Important,Very Important,Yes,Yes,medium,Not concerned,No,Restrictive,Very Low,green,0,0,0,0,0,0,1.0,2.0,2,4
25–34,Bachelors degree,"under £20,000",Working class,Living with family,Labour,Yes,Yes,Very Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,medium,lab,0,1,1,0,0,0,3.0,0.0,1,0
25–34,No qualification,"£60,000-£80,000",Working class,Council housing,Labour,Yes,No,Very Dissatisfied,Very Important,Very Important,Yes,Yes,Low,Very concerned,Yes,More open,Low,lab,0,1,1,0,0,0,0.0,3.0,1,0
25–34,A-level or equivalent,"£80,000 +",Working class,Council housing,Labour,Yes,No,Very Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,Low,lab,0,1,0,0,0,0,2.0,4.0,2,0
25–34,Bachelors degree,"£20,000–£40,000",Working class,Council housing,Reform,No,No,Dissatisfied,Very Important,Somewhat Important,No,Yes,Very Low,Not concerned,Yes,More open,Very High,ld,0,1,1,0,0,0,3.0,1.0,0,1
